Molar_Fraction,Estimated_Activities,Estimated_Max_eUs
[0.28 0.28 0.28 0.1  0.06],1.8030287697911262e-06,0.0
[0.28 0.28 0.28 0.09 0.07],1.8274247646331786e-06,0.024999999999999994
[0.28 0.28 0.28 0.08 0.08],2.0345432683825493e-06,0.024999999999999994
[0.28 0.28 0.28 0.07 0.09],2.188541553914547e-06,0.024999999999999994
[0.28 0.28 0.28 0.06 0.1 ],2.576775848865509e-06,0.024999999999999994
[0.28 0.28 0.28 0.05 0.11],2.7446646243333817e-06,0.0
[0.28 0.28 0.28 0.04 0.12],3.0994419008493423e-06,0.024999999999999994
[0.28 0.28 0.28 0.03 0.13],3.3009506762027742e-06,0.024999999999999994
[0.28 0.28 0.28 0.02 0.14],3.4602008759975433e-06,0.024999999999999994
[0.28 0.28 0.28 0.01 0.15],3.5493530333042145e-06,0.0
[0.28 0.28 0.28 0.   0.16],3.6225643008947374e-06,0.024999999999999994
[0.27 0.27 0.27 0.19 0.  ],2.3566275331177165e-11,0.2
[0.27 0.27 0.27 0.18 0.01],3.4653437323868277e-07,0.024999999999999994
[0.27 0.27 0.27 0.17 0.02],7.232884410768747e-07,0.024999999999999994
[0.27 0.27 0.27 0.16 0.03],9.067785926163197e-07,0.024999999999999994
[0.27 0.27 0.27 0.15 0.04],1.546601578593254e-06,0.0
[0.27 0.27 0.27 0.14 0.05],1.694551482796669e-06,-0.05
[0.27 0.27 0.27 0.13 0.06],1.3748526573181151e-06,0.024999999999999994
[0.27 0.27 0.27 0.12 0.07],1.824076473712921e-06,0.024999999999999994
[0.27 0.27 0.27 0.11 0.08],1.9412215799093248e-06,0.024999999999999994
[0.27 0.27 0.27 0.1  0.09],2.215539291501045e-06,0.024999999999999994
[0.27 0.27 0.27 0.09 0.1 ],2.4529412388801576e-06,0.024999999999999994
[0.27 0.27 0.27 0.08 0.11],2.565133385360241e-06,0.024999999999999994
[0.27 0.27 0.27 0.07 0.12],2.671748772263527e-06,0.024999999999999994
[0.27 0.27 0.27 0.06 0.13],2.5130957365036012e-06,0.024999999999999994
[0.27 0.27 0.27 0.05 0.14],3.684055805206299e-06,0.024999999999999994
[0.27 0.27 0.27 0.04 0.15],3.6535613238811494e-06,0.024999999999999994
[0.27 0.27 0.27 0.03 0.16],3.3941622823476793e-06,0.0
[0.27 0.27 0.27 0.02 0.17],3.3392827957868575e-06,0.024999999999999994
[0.27 0.27 0.27 0.01 0.18],3.7501145154237745e-06,0.024999999999999994
[0.27 0.27 0.27 0.   0.19],4.0956493467092515e-06,0.024999999999999994
[0.26 0.26 0.26 0.22 0.  ],3.0504162396027824e-11,0.2
[0.26 0.26 0.26 0.21 0.01],2.1764845587313175e-07,0.024999999999999994
[0.26 0.26 0.26 0.2  0.02],5.928254686295987e-07,0.0
[0.26 0.26 0.26 0.19 0.03],6.725992076098919e-07,0.024999999999999994
[0.26 0.26 0.26 0.18 0.04],1.2488135136663913e-06,0.024999999999999994
[0.26 0.26 0.26 0.17 0.05],1.2177364900708198e-06,0.024999999999999994
[0.26 0.26 0.26 0.16 0.06],1.233010459691286e-06,0.024999999999999994
[0.26 0.26 0.26 0.15 0.07],1.6895635053515434e-06,0.0
[0.26 0.26 0.26 0.14 0.08],2.2128548473119735e-06,0.0
[0.26 0.26 0.26 0.13 0.09],1.9390791654586793e-06,0.024999999999999994
[0.26 0.26 0.26 0.12 0.1 ],1.4917891472578048e-06,0.024999999999999994
[0.26 0.26 0.26 0.11 0.11],2.3301849141716955e-06,0.024999999999999994
[0.26 0.26 0.26 0.1  0.12],2.067893370985985e-06,0.024999999999999994
[0.26 0.26 0.26 0.09 0.13],2.3366523906588556e-06,0.024999999999999994
[0.26 0.26 0.26 0.08 0.14],2.80048381537199e-06,0.024999999999999994
[0.26 0.26 0.26 0.07 0.15],2.6757515966892244e-06,0.024999999999999994
[0.26 0.26 0.26 0.06 0.16],2.9426395893096925e-06,0.024999999999999994
