Molar_Fraction,Estimated_Activities,Estimated_Max_eUs
[0.15 0.15 0.   0.7  0.  ],1.5879545571806376e-10,0.2
[0.15 0.1  0.   0.75 0.  ],1.6405344922532093e-10,0.2
[0.15 0.05 0.   0.8  0.  ],1.4363095033331774e-10,0.2
[0.15 0.   0.   0.85 0.  ],1.0839726201083977e-10,0.2
[0.1 0.9 0.  0.  0. ],3.2067240979564634e-18,-0.075
[0.1  0.85 0.   0.05 0.  ],8.126336270564138e-14,0.024999999999999994
[0.1 0.8 0.  0.1 0. ],7.805029511587236e-13,0.2
[0.1  0.75 0.   0.15 0.  ],1.4498737321844147e-12,0.2
[0.1 0.7 0.  0.2 0. ],3.161052930522601e-12,0.2
[0.1  0.65 0.   0.25 0.  ],5.134390690386681e-12,0.2
[0.1 0.6 0.  0.3 0. ],1.2079128453024169e-11,0.2
[0.1  0.55 0.   0.35 0.  ],2.0544891299323354e-11,0.2
[0.1 0.5 0.  0.4 0. ],3.671728734389035e-11,0.2
[0.1  0.45 0.   0.45 0.  ],5.062081527285045e-11,0.2
[0.1 0.4 0.  0.5 0. ],7.125040610844735e-11,0.2
[0.1  0.35 0.   0.55 0.  ],9.494623895989207e-11,0.2
[0.1 0.3 0.  0.6 0. ],1.233049260918051e-10,0.2
[0.1  0.25 0.   0.65 0.  ],1.446430587748182e-10,0.2
[0.1 0.2 0.  0.7 0. ],1.6885510376596358e-10,0.2
[0.1  0.15 0.   0.75 0.  ],1.814644861042325e-10,0.2
[0.1 0.1 0.  0.8 0. ],1.8151245058106725e-10,0.2
[0.1  0.05 0.   0.85 0.  ],1.6186335187740043e-10,0.2
[0.1 0.  0.  0.9 0. ],1.2512356306615403e-10,0.2
[0.05 0.95 0.   0.   0.  ],2.2320678495064106e-18,-0.075
[0.05 0.9  0.   0.05 0.  ],2.7116492384848812e-14,0.2
[0.05 0.85 0.   0.1  0.  ],7.225668952060005e-14,0.2
[0.05 0.8  0.   0.15 0.  ],5.741423780847298e-13,0.2
[0.05 0.75 0.   0.2  0.  ],9.470841000336349e-13,0.2
[0.05 0.7  0.   0.25 0.  ],4.100639472426337e-12,0.2
[0.05 0.65 0.   0.3  0.  ],8.091576830793201e-12,0.2
[0.05 0.6  0.   0.35 0.  ],1.2581682540258044e-11,0.2
[0.05 0.55 0.   0.4  0.  ],2.4465296633024992e-11,0.2
[0.05 0.5  0.   0.45 0.  ],4.219716061015788e-11,0.2
[0.05 0.45 0.   0.5  0.  ],5.862781335963518e-11,0.2
[0.05 0.4  0.   0.55 0.  ],7.763131293359038e-11,0.2
[0.05 0.35 0.   0.6  0.  ],1.032669160849764e-10,0.2
[0.05 0.3  0.   0.65 0.  ],1.4073062857278273e-10,0.2
[0.05 0.25 0.   0.7  0.  ],1.5974947018548846e-10,0.2
[0.05 0.2  0.   0.75 0.  ],1.797402205738763e-10,0.2
[0.05 0.15 0.   0.8  0.  ],1.9539049844752299e-10,0.2
[0.05 0.1  0.   0.85 0.  ],2.06195863938774e-10,0.2
[0.05 0.05 0.   0.9  0.  ],1.8273174191563157e-10,0.2
[0.05 0.   0.   0.95 0.  ],1.4700531210110057e-10,0.2
[0. 1. 0. 0. 0.],1.0477575634903514e-18,-0.15
[0.   0.95 0.   0.05 0.  ],5.382739046155827e-15,0.12499999999999997
[0.  0.9 0.  0.1 0. ],1.3392568998238374e-14,0.2
[0.   0.85 0.   0.15 0.  ],7.717460559497625e-14,0.2
[0.  0.8 0.  0.2 0. ],5.847827999616583e-13,0.2
[0.   0.75 0.   0.25 0.  ],9.728747585313613e-13,0.2
[0.  0.7 0.  0.3 0. ],2.678987520710052e-12,0.2
[0.   0.65 0.   0.35 0.  ],5.9491242154763316e-12,0.2
[0.  0.6 0.  0.4 0. ],1.3480035931934254e-11,0.2
[0.   0.55 0.   0.45 0.  ],2.038729007836082e-11,0.2
[0.  0.5 0.  0.5 0. ],3.751254666894965e-11,0.2
[0.   0.45 0.   0.55 0.  ],5.243135774435359e-11,0.2
[0.  0.4 0.  0.6 0. ],8.852433666106663e-11,0.2
[0.   0.35 0.   0.65 0.  ],1.145857368101133e-10,0.2
[0.  0.3 0.  0.7 0. ],1.4736859839104e-10,0.2
[0.   0.25 0.   0.75 0.  ],1.7987766796068173e-10,0.2
[0.  0.2 0.  0.8 0. ],2.22560515794612e-10,0.2
[0.   0.15 0.   0.85 0.  ],2.3280235836864448e-10,0.2
[0.  0.1 0.  0.9 0. ],2.442902996335761e-10,0.2
[0.   0.05 0.   0.95 0.  ],2.2251622340263566e-10,0.2
[0. 0. 0. 1. 0.],1.804788098525023e-10,0.2
