Molar_Fraction,Estimated_Activities,Estimated_Max_eUs
[0.65 0.   0.15 0.   0.2 ],3.027832880616188e-06,0.04999999999999999
[0.65 0.   0.1  0.   0.25],3.111625462770462e-06,0.07499999999999998
[0.65 0.   0.05 0.   0.3 ],3.2510899007320405e-06,0.07499999999999998
[0.65 0.   0.   0.   0.35],3.113512508571148e-06,0.07499999999999998
[0.6 0.  0.4 0.  0. ],2.669474816435584e-18,-0.075
[0.6  0.   0.35 0.   0.05],1.5336427837610245e-06,0.024999999999999994
[0.6 0.  0.3 0.  0.1],2.5665953755378722e-06,0.04999999999999999
[0.6  0.   0.25 0.   0.15],3.3463742583990095e-06,0.04999999999999999
[0.6 0.  0.2 0.  0.2],3.113488480448723e-06,0.04999999999999999
[0.6  0.   0.15 0.   0.25],2.9646068811416627e-06,0.07499999999999998
[0.6 0.  0.1 0.  0.3],2.6449738070368765e-06,0.07499999999999998
[0.6  0.   0.05 0.   0.35],2.4153899401426316e-06,0.07499999999999998
[0.6 0.  0.  0.  0.4],1.956050843000412e-06,0.07499999999999998
[0.55 0.   0.45 0.   0.  ],2.681063921219917e-18,-0.075
[0.55 0.   0.4  0.   0.05],1.3269424438476562e-06,0.024999999999999994
[0.55 0.   0.35 0.   0.1 ],2.78555303812027e-06,0.024999999999999994
[0.55 0.   0.3  0.   0.15],3.012188896536827e-06,0.04999999999999999
[0.55 0.   0.25 0.   0.2 ],3.2789014279842377e-06,0.04999999999999999
[0.55 0.   0.2  0.   0.25],3.0150778591632842e-06,0.04999999999999999
[0.55 0.   0.15 0.   0.3 ],2.806536853313446e-06,0.04999999999999999
[0.55 0.   0.1  0.   0.35],1.8975527957081795e-06,0.07499999999999998
[0.55 0.   0.05 0.   0.4 ],1.704501174390316e-06,0.07499999999999998
[0.55 0.   0.   0.   0.45],1.3252933509647846e-06,0.07499999999999998
[0.5 0.  0.5 0.  0. ],2.4122176966404757e-18,-0.075
[0.5  0.   0.45 0.   0.05],1.5903068706393241e-06,0.024999999999999994
[0.5 0.  0.4 0.  0.1],2.945376932621002e-06,0.024999999999999994
[0.5  0.   0.35 0.   0.15],3.5884708166122435e-06,0.024999999999999994
[0.5 0.  0.3 0.  0.2],2.8381619602441787e-06,0.04999999999999999
[0.5  0.   0.25 0.   0.25],2.8292529284954072e-06,0.04999999999999999
[0.5 0.  0.2 0.  0.3],2.335831895470619e-06,0.04999999999999999
[0.5  0.   0.15 0.   0.35],1.918423920869827e-06,0.04999999999999999
[0.5 0.  0.1 0.  0.4],1.4747815206646919e-06,0.07499999999999998
[0.5  0.   0.05 0.   0.45],9.71781276166439e-07,0.07499999999999998
[0.5 0.  0.  0.  0.5],6.836323998868466e-07,0.07499999999999998
[0.45 0.   0.55 0.   0.  ],1.999756697040889e-18,-0.075
[0.45 0.   0.5  0.   0.05],1.2757999822497367e-06,0.024999999999999994
[0.45 0.   0.45 0.   0.1 ],3.0642710626125335e-06,0.024999999999999994
[0.45 0.   0.4  0.   0.15],3.686950355768204e-06,0.024999999999999994
[0.45 0.   0.35 0.   0.2 ],3.2192669808864593e-06,0.024999999999999994
[0.45 0.   0.3  0.   0.25],2.7774931862950323e-06,0.04999999999999999
[0.45 0.   0.25 0.   0.3 ],2.1567042917013166e-06,0.04999999999999999
[0.45 0.   0.2  0.   0.35],1.6939489170908929e-06,0.04999999999999999
[0.45 0.   0.15 0.   0.4 ],1.4837087132036687e-06,0.04999999999999999
[0.45 0.   0.1  0.   0.45],8.689962327480316e-07,0.07499999999999998
[0.45 0.   0.05 0.   0.5 ],5.773616023361683e-07,0.07499999999999998
[0.45 0.   0.   0.   0.55],3.958133980631828e-07,0.07499999999999998
[0.4 0.  0.6 0.  0. ],1.677109988970464e-18,-0.075
[0.4  0.   0.55 0.   0.05],1.4010650105774403e-06,0.024999999999999994
[0.4 0.  0.5 0.  0.1],3.084054961800575e-06,0.024999999999999994
