Molar_Fraction,Estimated_Activities,Estimated_Max_eUs
[0.65 0.25 0.   0.   0.1 ],3.121441416442394e-06,0.04999999999999999
[0.65 0.2  0.   0.   0.15],3.332333266735077e-06,0.04999999999999999
[0.65 0.15 0.   0.   0.2 ],3.1693071126937867e-06,0.04999999999999999
[0.65 0.1  0.   0.   0.25],3.328147530555725e-06,0.07499999999999998
[0.65 0.05 0.   0.   0.3 ],3.1577229499816896e-06,0.07499999999999998
[0.65 0.   0.   0.   0.35],2.7167128399014475e-06,0.07499999999999998
[0.6 0.4 0.  0.  0. ],2.2499780223629235e-18,-0.075
[0.6  0.35 0.   0.   0.05],1.7680220305919648e-06,0.04999999999999999
[0.6 0.3 0.  0.  0.1],3.0545908957719804e-06,0.04999999999999999
[0.6  0.25 0.   0.   0.15],3.156100958585739e-06,0.04999999999999999
[0.6 0.2 0.  0.  0.2],3.0590344220399855e-06,0.04999999999999999
[0.6  0.15 0.   0.   0.25],2.9345910996198653e-06,0.07499999999999998
[0.6 0.1 0.  0.  0.3],2.6369672268629074e-06,0.07499999999999998
[0.6  0.05 0.   0.   0.35],2.3893414065241815e-06,0.07499999999999998
[0.6 0.  0.  0.  0.4],2.021443098783493e-06,0.07499999999999998
[0.55 0.45 0.   0.   0.  ],2.579834336067198e-18,-0.075
[0.55 0.4  0.   0.   0.05],1.7512064427137374e-06,0.04999999999999999
[0.55 0.35 0.   0.   0.1 ],2.922079898416996e-06,0.04999999999999999
[0.55 0.3  0.   0.   0.15],2.945864200592041e-06,0.04999999999999999
[0.55 0.25 0.   0.   0.2 ],3.3685930073261263e-06,0.04999999999999999
[0.55 0.2  0.   0.   0.25],2.9814401641488075e-06,0.04999999999999999
[0.55 0.15 0.   0.   0.3 ],2.199127897620201e-06,0.07499999999999998
[0.55 0.1  0.   0.   0.35],1.948891580104828e-06,0.07499999999999998
[0.55 0.05 0.   0.   0.4 ],1.8875673413276672e-06,0.07499999999999998
[0.55 0.   0.   0.   0.45],1.3495263643562793e-06,0.07499999999999998
[0.5 0.5 0.  0.  0. ],2.8481567554720576e-18,-0.075
[0.5  0.45 0.   0.   0.05],1.793748140335083e-06,0.04999999999999999
[0.5 0.4 0.  0.  0.1],2.8911659494042397e-06,0.04999999999999999
[0.5  0.35 0.   0.   0.15],3.3551160246133806e-06,0.04999999999999999
[0.5 0.3 0.  0.  0.2],2.8467409312725067e-06,0.04999999999999999
[0.5  0.25 0.   0.   0.25],2.373490110039711e-06,0.07499999999999998
[0.5 0.2 0.  0.  0.3],2.2227462381124497e-06,0.04999999999999999
[0.5  0.15 0.   0.   0.35],1.7243105918169022e-06,0.07499999999999998
[0.5 0.1 0.  0.  0.4],1.4053603634238244e-06,0.07499999999999998
[0.5  0.05 0.   0.   0.45],1.128112990409136e-06,0.07499999999999998
[0.5 0.  0.  0.  0.5],7.623560726642609e-07,0.07499999999999998
[0.45 0.55 0.   0.   0.  ],3.0383302210973406e-18,-0.075
[0.45 0.5  0.   0.   0.05],1.7793500795960426e-06,0.04999999999999999
[0.45 0.45 0.   0.   0.1 ],2.5786589831113814e-06,0.04999999999999999
[0.45 0.4  0.   0.   0.15],3.1628157943487166e-06,0.04999999999999999
[0.45 0.35 0.   0.   0.2 ],2.9881494119763376e-06,0.04999999999999999
[0.45 0.3  0.   0.   0.25],2.556381560862064e-06,0.04999999999999999
[0.45 0.25 0.   0.   0.3 ],2.1236900240182878e-06,0.04999999999999999
[0.45 0.2  0.   0.   0.35],1.5339741483330727e-06,0.07499999999999998
[0.45 0.15 0.   0.   0.4 ],1.2156805954873562e-06,0.07499999999999998
[0.45 0.1  0.   0.   0.45],8.954728022217751e-07,0.07499999999999998
[0.45 0.05 0.   0.   0.5 ],5.542842671275139e-07,0.07499999999999998
[0.45 0.   0.   0.   0.55],3.7731616757810116e-07,0.07499999999999998
[0.4 0.6 0.  0.  0. ],3.3596254033971263e-18,-0.075
[0.4  0.55 0.   0.   0.05],1.5991177409887314e-06,0.04999999999999999
[0.4 0.5 0.  0.  0.1],2.280366234481335e-06,0.04999999999999999
[0.4  0.45 0.   0.   0.15],2.6836775243282316e-06,0.04999999999999999
[0.4 0.4 0.  0.  0.2],2.8392639011144637e-06,0.04999999999999999
[0.4  0.35 0.   0.   0.25],2.6842594146728514e-06,0.04999999999999999
[0.4 0.3 0.  0.  0.3],1.9891124218702317e-06,0.04999999999999999
[0.4  0.25 0.   0.   0.35],1.389031484723091e-06,0.07499999999999998
[0.4 0.2 0.  0.  0.4],1.0613351128995418e-06,0.07499999999999998
[0.4  0.15 0.   0.   0.45],7.333803921937942e-07,0.07499999999999998
[0.4 0.1 0.  0.  0.5],4.919040016829968e-07,0.07499999999999998
[0.4  0.05 0.   0.   0.55],2.896933350712061e-07,0.07499999999999998
