Molar_Fraction,Estimated_Activities,Estimated_Max_eUs
[0.3 0.1 0.5 0.1 0. ],7.392450385168559e-12,0.2
[0.3 0.1 0.5 0.  0.1],2.7578581124544145e-06,0.024999999999999994
[0.3 0.1 0.4 0.2 0. ],2.3502025214838795e-11,0.2
[0.3 0.1 0.4 0.1 0.1],1.5498415566980838e-06,0.024999999999999994
[0.3 0.1 0.4 0.  0.2],3.3078022301197054e-06,0.024999999999999994
[0.3 0.1 0.3 0.3 0. ],4.637983010979951e-11,0.2
[0.3 0.1 0.3 0.2 0.1],1.090511865913868e-06,0.024999999999999994
[0.3 0.1 0.3 0.1 0.2],1.777392253279686e-06,0.024999999999999994
[0.3 0.1 0.3 0.  0.3],2.688806504011154e-06,0.024999999999999994
[0.3 0.1 0.2 0.4 0. ],7.494870715163416e-11,0.2
[0.3 0.1 0.2 0.3 0.1],4.533600993454456e-07,0.04999999999999999
[0.3 0.1 0.2 0.2 0.2],7.603857666254043e-07,-0.02500000000000001
[0.3 0.1 0.2 0.1 0.3],9.774249978363513e-07,0.04999999999999999
[0.3 0.1 0.2 0.  0.4],1.3178411871194839e-06,0.04999999999999999
[0.3 0.1 0.1 0.5 0. ],9.16120768579276e-11,0.2
[0.3 0.1 0.1 0.4 0.1],1.718004932627082e-07,0.04999999999999999
[0.3 0.1 0.1 0.3 0.2],1.5011565992608666e-07,0.07499999999999998
[0.3 0.1 0.1 0.2 0.3],3.499474376440048e-07,0.04999999999999999
[0.3 0.1 0.1 0.1 0.4],3.7012735847383737e-07,0.04999999999999999
[0.3 0.1 0.1 0.  0.5],5.513204261660576e-07,0.04999999999999999
[0.3 0.1 0.  0.6 0. ],1.2520615655375878e-10,0.2
[0.3 0.1 0.  0.5 0.1],2.999491698574275e-08,0.024999999999999994
[0.3 0.1 0.  0.4 0.2],2.581691660452634e-08,0.09999999999999998
[0.3 0.1 0.  0.3 0.3],8.465952705591917e-08,0.07499999999999998
[0.3 0.1 0.  0.2 0.4],1.5214686281979083e-07,0.07499999999999998
[0.3 0.1 0.  0.1 0.5],7.218769169412553e-08,0.07499999999999998
[0.3 0.1 0.  0.  0.6],9.131203405559063e-08,0.09999999999999998
[0.3 0.  0.7 0.  0. ],9.69874916869392e-19,-0.075
[0.3 0.  0.6 0.1 0. ],2.440810220605272e-12,0.2
[0.3 0.  0.6 0.  0.1],2.662403881549835e-06,0.024999999999999994
[0.3 0.  0.5 0.2 0. ],7.791199863049769e-12,0.2
[0.3 0.  0.5 0.1 0.1],2.443169429898262e-06,-0.05
[0.3 0.  0.5 0.  0.2],3.744659572839737e-06,0.024999999999999994
[0.3 0.  0.4 0.3 0. ],1.7410056329936198e-11,0.2
[0.3 0.  0.4 0.2 0.1],7.372552528977394e-07,0.04999999999999999
[0.3 0.  0.4 0.1 0.2],1.4469184912741184e-06,0.024999999999999994
[0.3 0.  0.4 0.  0.3],2.692675590515137e-06,0.024999999999999994
[0.3 0.  0.3 0.4 0. ],2.984882883083628e-11,0.2
[0.3 0.  0.3 0.3 0.1],3.729274962097406e-07,-0.02500000000000001
[0.3 0.  0.3 0.2 0.2],4.105927422642708e-07,0.07499999999999998
[0.3 0.  0.3 0.1 0.3],8.063668385148048e-07,0.024999999999999994
[0.3 0.  0.3 0.  0.4],1.254756562411785e-06,0.04999999999999999
[0.3 0.  0.2 0.5 0. ],4.466078848963661e-11,0.2
[0.3 0.  0.2 0.4 0.1],1.8390916520729662e-07,-0.02500000000000001
[0.3 0.  0.2 0.3 0.2],1.2874974636361003e-07,0.09999999999999998
[0.3 0.  0.2 0.2 0.3],1.8508362118154764e-07,0.07499999999999998
[0.3 0.  0.2 0.1 0.4],3.169217146933079e-07,0.07499999999999998
[0.3 0.  0.2 0.  0.5],4.56108758226037e-07,0.04999999999999999
[0.3 0.  0.1 0.6 0. ],6.148038096398523e-11,0.2
[0.3 0.  0.1 0.5 0.1],2.386877022217959e-08,0.04999999999999999
[0.3 0.  0.1 0.4 0.2],2.8786293114535512e-08,0.09999999999999998
[0.3 0.  0.1 0.3 0.3],3.281689423602074e-08,0.07499999999999998
[0.3 0.  0.1 0.2 0.4],5.761359934695065e-08,0.07499999999999998
[0.3 0.  0.1 0.1 0.5],8.20639485027641e-08,0.09999999999999998
[0.3 0.  0.1 0.  0.6],1.2243955861777068e-07,0.04999999999999999
[0.3 0.  0.  0.7 0. ],8.340310841958853e-11,0.2
[0.3 0.  0.  0.6 0.1],1.914208769449033e-09,0.12499999999999997
[0.3 0.  0.  0.5 0.2],6.723326077917591e-09,0.09999999999999998
[0.3 0.  0.  0.4 0.3],1.0441993072163314e-08,0.09999999999999998
[0.3 0.  0.  0.3 0.4],4.466573591344059e-09,0.09999999999999998
[0.3 0.  0.  0.2 0.5],1.751022064127028e-08,0.09999999999999998
[0.3 0.  0.  0.1 0.6],2.490053593646735e-08,0.07499999999999998
[0.3 0.  0.  0.  0.7],3.4498117747716604e-08,0.09999999999999998
[0.2 0.8 0.  0.  0. ],3.6812617705680655e-18,-0.075
[0.2 0.7 0.1 0.  0. ],4.682649870613696e-18,-0.075
[0.2 0.7 0.  0.1 0. ],1.4165022932388638e-12,0.2
[0.2 0.7 0.  0.  0.1],1.9089508801698686e-06,0.04999999999999999
[0.2 0.6 0.2 0.  0. ],5.012675252094243e-18,-0.075
[0.2 0.6 0.1 0.1 0. ],2.807587407005485e-12,0.2
[0.2 0.6 0.1 0.  0.1],2.190669998526573e-06,0.024999999999999994
[0.2 0.6 0.  0.2 0. ],7.70606831679288e-12,0.2
[0.2 0.6 0.  0.1 0.1],2.2991327568888666e-06,0.024999999999999994
[0.2 0.6 0.  0.  0.2],2.7323901653289796e-06,0.04999999999999999
[0.2 0.5 0.3 0.  0. ],5.2365236983837465e-18,-0.075
[0.2 0.5 0.2 0.1 0. ],4.455539226455585e-12,0.2
[0.2 0.5 0.2 0.  0.1],2.5656701996922494e-06,0.024999999999999994
[0.2 0.5 0.1 0.2 0. ],1.2580841257658904e-11,0.2
[0.2 0.5 0.1 0.1 0.1],2.301626652479172e-06,0.024999999999999994
[0.2 0.5 0.1 0.  0.2],2.979620918631554e-06,0.04999999999999999
[0.2 0.5 0.  0.3 0. ],2.3938130766509858e-11,0.2
[0.2 0.5 0.  0.2 0.1],1.7377417534589767e-06,0.024999999999999994
[0.2 0.5 0.  0.1 0.2],2.0750200375914575e-06,0.04999999999999999
[0.2 0.5 0.  0.  0.3],2.030957490205765e-06,0.024999999999999994
[0.2 0.4 0.4 0.  0. ],4.467907367320355e-18,-0.075
[0.2 0.4 0.3 0.1 0. ],8.49691446092038e-12,0.2
[0.2 0.4 0.3 0.  0.1],2.402099594473839e-06,0.024999999999999994
[0.2 0.4 0.2 0.2 0. ],2.295028025400825e-11,0.2
[0.2 0.4 0.2 0.1 0.1],2.2320859134197237e-06,0.024999999999999994
[0.2 0.4 0.2 0.  0.2],3.265827149152756e-06,0.04999999999999999
[0.2 0.4 0.1 0.3 0. ],3.947742470700177e-11,0.2
[0.2 0.4 0.1 0.2 0.1],1.7413049936294556e-06,0.024999999999999994
[0.2 0.4 0.1 0.1 0.2],2.5877805426716806e-06,0.024999999999999994
[0.2 0.4 0.1 0.  0.3],2.5404123589396475e-06,0.024999999999999994
