feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,G_ads (eV),slab db row,swim_ring_COOH_out.dbrow
0,0,0,0,1,3,3,0,0,0,1,2,0,0,0,3,0,0,0,0,0.067216,55,55
0,0,0,0,1,3,3,0,0,0,2,1,0,0,0,0,2,0,0,1,0.032528,56,56
0,0,0,0,1,3,3,0,0,0,1,2,0,0,0,1,1,0,0,1,0.070019,57,57
0,0,0,0,1,2,4,0,0,0,0,2,0,0,1,2,1,0,0,0,0.057793,58,58
0,0,0,0,1,3,3,0,0,0,2,0,0,0,1,0,3,0,0,0,0.020482,59,59
0,0,0,0,1,3,3,0,0,0,1,1,0,0,1,1,2,0,0,0,-0.010893,60,60
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0.604036,61,61
0,0,0,1,0,0,6,0,0,0,0,1,0,2,0,0,2,0,1,0,0.512928,62,62
0,0,0,1,0,0,6,0,0,0,0,2,0,1,0,0,3,0,0,0,0.531917,63,63
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0.583590,64,64
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,1,0,2,0,0.552364,65,65
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,2,0,1,0,0.542966,66,66
0,0,0,1,0,0,6,0,0,0,0,2,0,1,0,0,2,0,1,0,0.562735,67,67
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0.551415,68,68
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,1,0,2,0,0.541557,69,69
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0.581461,70,70
0,0,0,1,0,0,6,0,0,0,0,2,0,1,0,0,2,0,1,0,0.576927,71,71
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0.532666,72,72
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,2,0,1,0,0.588504,73,73
0,0,0,1,0,0,6,0,0,0,0,2,0,1,0,0,2,0,1,0,0.554302,74,74
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0.595517,75,75
0,0,0,1,0,0,6,0,0,0,0,2,0,1,0,0,1,0,2,0,0.557328,76,76
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0.581001,77,77
0,0,0,1,0,0,6,0,0,0,0,2,0,1,0,0,2,0,1,0,0.621578,78,78
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0.556140,79,79
0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0.575529,80,80
0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0.384060,81,81
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.414376,82,82
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.405008,83,83
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0.394149,84,84
0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0.405328,85,85
0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0.383834,86,86
0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0.384304,87,87
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.437096,88,88
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.421238,89,89
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.444849,90,90
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.427073,91,91
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.434341,92,92
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0.446591,93,93
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0.411593,94,94
0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0.331093,95,95
0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,1,0,0,2,0,0.351073,96,96
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.468086,97,97
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0.407238,98,98
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.432633,99,99
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0.421872,100,100
0,0,0,1,0,4,2,0,0,0,3,0,0,0,0,2,0,0,1,0,0.470943,101,101
0,0,0,1,0,3,3,0,0,0,0,1,0,2,0,1,2,0,0,0,0.448781,102,102
0,0,0,1,0,0,6,0,0,0,1,2,0,0,0,0,1,0,2,0,0.557972,103,103
0,0,0,1,0,3,3,0,0,0,0,2,0,1,0,2,0,0,1,0,0.496486,104,104
0,0,0,1,0,2,4,0,0,0,1,2,0,0,0,2,1,0,0,0,0.485966,105,105
0,0,0,1,0,3,3,0,0,0,1,2,0,0,0,1,1,0,1,0,0.514786,106,106
0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0.390504,107,107
0,0,0,1,0,5,1,0,0,0,0,2,0,1,0,1,1,0,1,0,0.316640,108,108
0,0,0,1,0,2,4,0,0,0,0,2,0,1,0,2,1,0,0,0,0.469154,109,109
0,0,0,1,0,3,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0.486685,110,110
0,0,0,1,0,5,1,0,0,0,1,0,0,2,0,0,3,0,0,0,0.415817,111,111
0,0,0,1,0,3,3,0,0,0,1,1,0,1,0,2,1,0,0,0,0.442275,112,112
0,0,0,1,0,3,3,0,0,0,1,1,0,1,0,1,1,0,1,0,0.536446,113,113
0,0,0,1,0,3,3,0,0,0,1,2,0,0,0,1,2,0,0,0,0.473212,114,114
0,0,0,1,0,4,2,0,0,0,2,1,0,0,0,1,1,0,1,0,0.446238,115,115
0,0,0,1,0,2,4,0,0,0,1,2,0,0,0,1,2,0,0,0,0.498779,116,116
0,0,0,1,0,4,2,0,0,0,1,2,0,0,0,3,0,0,0,0,0.450382,117,117
0,0,0,1,0,4,2,0,0,0,1,1,0,1,0,1,1,0,1,0,0.366278,118,118
0,0,0,1,0,2,4,0,0,0,0,2,0,1,0,0,2,0,1,0,0.427085,119,119
0,0,0,1,0,2,4,0,0,0,3,0,0,0,0,2,0,0,1,0,0.625104,120,120
