feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,G_ads (eV),slab db row,CO_out.dbrow
0,0,0,1,0,1,1,2,1,1,3,0,0,0,0,0,1,1,0,1,-0.393325,13,112
1,0,0,0,0,1,1,1,2,1,1,0,0,2,0,0,1,2,0,0,0.541983,13,113
0,0,0,1,0,2,0,3,1,0,1,0,0,1,1,0,2,1,0,0,-0.583695,13,114
0,1,0,0,0,2,0,3,1,0,1,1,0,1,0,0,0,2,1,0,0.468883,13,115
1,0,0,0,0,1,1,2,1,1,0,0,0,1,2,0,0,1,2,0,0.477871,13,116
0,0,1,0,0,1,1,1,2,1,1,1,0,0,1,0,1,1,1,0,0.132091,13,117
1,0,0,0,0,1,1,2,0,2,1,0,1,0,1,3,0,0,0,0,0.468639,14,118
0,0,0,0,1,1,1,2,1,1,0,1,1,0,1,1,0,1,0,1,-1.028839,14,119
0,0,1,0,0,2,0,0,1,3,0,0,0,1,2,1,0,2,0,0,0.094536,14,120
0,1,0,0,0,2,0,0,1,3,1,1,0,1,0,1,0,0,0,2,0.514055,14,121
0,0,0,0,1,1,1,2,0,2,0,2,0,1,0,0,1,1,0,1,-0.915550,14,122
1,0,0,0,0,1,1,2,1,1,1,0,0,2,0,1,1,0,0,1,0.481498,14,123
0,0,0,0,1,1,1,2,1,1,0,1,0,1,1,1,0,1,0,1,-1.010399,14,124
0,0,1,0,0,2,0,0,1,3,0,1,1,1,0,1,1,0,0,1,0.126250,14,125
0,0,0,1,0,1,1,2,0,2,0,0,0,2,1,0,0,1,0,2,-0.488423,14,126
0,0,1,0,0,3,0,2,1,0,0,1,1,0,1,0,0,1,1,1,-0.003253,15,127
0,0,0,1,0,2,1,2,1,0,1,1,0,1,0,0,0,1,1,1,-0.552538,15,128
1,0,0,0,0,1,1,2,2,0,1,0,0,1,1,0,0,1,1,1,0.473533,15,129
1,0,0,0,0,1,1,2,2,0,0,0,2,1,0,1,0,1,0,1,0.562120,15,130
0,0,0,1,0,3,0,2,1,0,0,1,0,2,0,0,1,1,1,0,-0.591807,15,131
1,0,0,0,0,2,1,2,1,0,0,1,1,1,0,1,1,1,0,0,0.519903,15,132
0,0,1,0,0,2,1,2,1,0,0,1,1,0,1,0,0,1,1,1,0.062982,15,133
0,0,1,0,0,1,1,2,2,0,0,3,0,0,0,0,1,1,1,0,0.015814,15,134
0,1,0,0,0,3,0,2,1,0,1,1,1,0,0,1,0,1,0,1,0.492036,15,135
0,0,0,1,0,3,1,1,1,0,0,1,1,0,1,1,1,0,1,0,-0.489649,16,136
1,0,0,0,0,2,1,2,1,0,1,1,1,0,0,1,0,0,2,0,0.511704,16,137
0,1,0,0,0,3,0,1,2,0,0,0,2,0,1,2,0,1,0,0,0.493733,16,138
0,0,1,0,0,3,0,1,2,0,1,0,1,0,1,0,0,1,2,0,-0.024734,16,139
1,0,0,0,0,3,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0.487988,16,140
