feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,G_ads (eV),slab db row,O_out.dbrow
1,0,0,0,0,2,2,2,0,0,0,0,1,1,1,3,0,0,0,0,1.621653,261,120
0,1,0,0,0,2,2,2,0,0,0,1,0,1,1,0,3,0,0,0,1.679147,262,160
0,0,0,1,0,0,2,2,0,2,0,1,1,1,0,0,0,0,0,3,1.576442,263,119
0,0,0,1,0,0,0,0,6,0,1,0,1,0,1,0,3,0,0,0,1.411117,264,132
0,0,1,0,0,2,2,0,0,2,0,1,0,2,0,0,0,3,0,0,1.371019,268,157
0,0,0,1,0,4,0,0,2,0,0,0,0,1,2,3,0,0,0,0,1.115689,269,164
0,0,0,1,0,0,0,2,2,2,2,0,0,0,1,0,0,0,3,0,1.461987,270,124
0,0,0,0,1,0,0,2,2,2,0,0,1,2,0,0,3,0,0,0,1.242750,271,121
0,0,0,0,1,0,6,0,0,0,0,0,1,1,1,0,3,0,0,0,1.215071,273,173
0,1,0,0,0,2,0,2,2,0,0,1,0,2,0,0,0,3,0,0,1.773203,276,130
0,0,1,0,0,2,2,2,0,0,1,0,1,1,0,3,0,0,0,0,1.182397,277,6
1,0,0,0,0,0,4,0,2,0,2,0,1,0,0,0,0,0,0,3,1.928406,279,181
0,0,1,0,0,0,0,2,2,2,2,0,1,0,0,0,0,3,0,0,1.570259,280,131
0,1,0,0,0,0,0,4,0,2,0,3,0,0,0,0,3,0,0,0,1.961998,281,122
0,0,0,0,1,0,4,0,0,2,1,1,0,1,0,0,0,0,3,0,1.399291,282,133
0,0,0,1,0,0,0,4,2,0,0,1,1,1,0,0,0,0,0,3,1.398205,283,168
0,0,0,0,1,4,0,0,0,2,1,1,0,0,1,0,3,0,0,0,1.051564,284,123
1,0,0,0,0,2,2,0,0,2,0,1,0,1,1,3,0,0,0,0,1.885084,285,156
0,0,0,1,0,2,0,0,0,4,2,0,1,0,0,0,0,0,0,3,1.709820,286,161
0,0,0,1,0,6,0,0,0,0,0,2,1,0,0,0,0,0,3,0,1.289916,289,201
0,0,1,0,0,2,0,0,2,2,0,1,2,0,0,3,0,0,0,0,1.336548,290,213
1,0,0,0,0,4,0,2,0,0,1,0,0,1,1,3,0,0,0,0,1.599206,291,138
0,0,0,0,1,0,0,2,2,2,0,0,0,2,1,3,0,0,0,0,1.099360,292,139
1,0,0,0,0,0,0,2,0,4,2,0,1,0,0,0,0,3,0,0,2.125729,293,176
0,0,0,1,0,0,0,0,2,4,0,0,1,1,1,0,0,3,0,0,1.529015,294,129
0,0,0,0,1,0,2,0,4,0,2,0,0,1,0,0,3,0,0,0,1.221241,297,195
1,0,0,0,0,2,0,0,2,2,1,0,0,0,2,3,0,0,0,0,1.883124,299,142
0,0,0,0,1,0,2,0,2,2,2,0,0,1,0,3,0,0,0,0,1.312201,300,145
1,0,0,0,0,0,2,2,0,2,0,0,1,2,0,0,0,3,0,0,1.983545,301,141
0,0,0,1,0,2,0,0,0,4,1,1,0,1,0,0,0,0,0,3,1.635545,302,159
0,0,0,1,0,2,0,0,4,0,0,1,1,1,0,0,3,0,0,0,1.347824,303,167
0,0,0,0,1,0,0,4,2,0,0,2,1,0,0,0,0,0,3,0,1.060053,304,174
0,0,0,1,0,0,2,0,4,0,0,0,1,0,2,0,0,0,0,3,1.413551,305,135
0,0,0,1,0,0,4,2,0,0,0,1,0,1,1,0,3,0,0,0,1.443740,307,125
0,0,0,0,1,2,2,0,0,2,1,1,0,0,1,0,0,3,0,0,1.228713,308,149
0,1,0,0,0,0,2,2,2,0,3,0,0,0,0,0,0,0,0,3,1.873951,311,134
1,0,0,0,0,0,4,0,2,0,0,1,2,0,0,3,0,0,0,0,1.898661,313,153
1,0,0,0,0,2,0,4,0,0,0,0,0,2,1,0,0,3,0,0,1.567307,314,137
1,0,0,0,0,0,4,0,0,2,0,0,2,1,0,0,3,0,0,0,1.910971,315,162
