feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,G_ads (eV),slab db row,O_out.dbrow
0,0,0,0,1,2,0,0,2,2,1,1,0,0,1,0,0,0,0,3,0.860146,241,110
0,0,0,0,1,2,2,2,0,0,0,1,2,0,0,3,0,0,0,0,0.963718,242,101
0,0,0,1,0,2,2,0,0,2,1,0,1,0,1,0,0,0,0,3,1.200733,243,108
0,1,0,0,0,0,2,2,0,2,0,2,0,0,1,3,0,0,0,0,1.598903,245,117
0,0,1,0,0,0,4,0,0,2,0,0,0,0,3,0,3,0,0,0,1.110412,246,106
1,0,0,0,0,0,2,2,0,2,0,3,0,0,0,0,0,0,3,0,1.601490,247,2
0,1,0,0,0,0,4,0,2,0,0,0,1,1,1,0,0,3,0,0,1.456314,248,114
0,0,0,1,0,0,2,2,0,2,1,0,0,2,0,0,3,0,0,0,1.189919,252,116
0,0,0,0,1,2,0,0,2,2,0,1,1,0,1,0,3,0,0,0,0.804754,254,148
0,0,0,1,0,0,0,4,2,0,0,0,1,1,1,0,3,0,0,0,0.893611,255,107
0,1,0,0,0,2,4,0,0,0,0,2,0,0,1,0,3,0,0,0,1.330272,259,212
0,1,0,0,0,2,0,0,2,2,1,0,1,1,0,0,3,0,0,0,1.514440,260,204
1,0,0,0,0,2,2,2,0,0,0,0,1,1,1,3,0,0,0,0,1.276653,261,120
0,1,0,0,0,2,2,2,0,0,0,1,0,1,1,0,3,0,0,0,1.334147,262,160
0,0,0,1,0,0,2,2,0,2,0,1,1,1,0,0,0,0,0,3,1.231442,263,119
0,0,0,1,0,0,0,0,6,0,1,0,1,0,1,0,3,0,0,0,1.066117,264,132
0,0,1,0,0,2,2,0,0,2,0,1,0,2,0,0,0,3,0,0,1.026019,268,157
0,0,0,1,0,4,0,0,2,0,0,0,0,1,2,3,0,0,0,0,0.770689,269,164
0,0,0,1,0,0,0,2,2,2,2,0,0,0,1,0,0,0,3,0,1.116987,270,124
0,0,0,0,1,0,0,2,2,2,0,0,1,2,0,0,3,0,0,0,0.897750,271,121
0,0,0,0,1,0,6,0,0,0,0,0,1,1,1,0,3,0,0,0,0.870071,273,173
0,1,0,0,0,2,0,2,2,0,0,1,0,2,0,0,0,3,0,0,1.428203,276,130
0,0,1,0,0,2,2,2,0,0,1,0,1,1,0,3,0,0,0,0,0.837397,277,6
1,0,0,0,0,0,4,0,2,0,2,0,1,0,0,0,0,0,0,3,1.583406,279,181
0,0,1,0,0,0,0,2,2,2,2,0,1,0,0,0,0,3,0,0,1.225259,280,131
0,1,0,0,0,0,0,4,0,2,0,3,0,0,0,0,3,0,0,0,1.616998,281,122
0,0,0,0,1,0,4,0,0,2,1,1,0,1,0,0,0,0,3,0,1.054291,282,133
0,0,0,1,0,0,0,4,2,0,0,1,1,1,0,0,0,0,0,3,1.053205,283,168
0,0,0,0,1,4,0,0,0,2,1,1,0,0,1,0,3,0,0,0,0.706564,284,123
1,0,0,0,0,2,2,0,0,2,0,1,0,1,1,3,0,0,0,0,1.540084,285,156
0,0,0,1,0,2,0,0,0,4,2,0,1,0,0,0,0,0,0,3,1.364820,286,161
0,0,0,1,0,6,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0.944916,289,201
0,0,1,0,0,2,0,0,2,2,0,1,2,0,0,3,0,0,0,0,0.991548,290,213
1,0,0,0,0,4,0,2,0,0,1,0,0,1,1,3,0,0,0,0,1.254206,291,138
0,0,0,0,1,0,0,2,2,2,0,0,0,2,1,3,0,0,0,0,0.754360,292,139
1,0,0,0,0,0,0,2,0,4,2,0,1,0,0,0,0,3,0,0,1.780729,293,176
0,0,0,1,0,0,0,0,2,4,0,0,1,1,1,0,0,3,0,0,1.184015,294,129
0,0,0,0,1,0,2,0,4,0,2,0,0,1,0,0,3,0,0,0,0.876241,297,195
1,0,0,0,0,2,0,0,2,2,1,0,0,0,2,3,0,0,0,0,1.538124,299,142
0,0,0,0,1,0,2,0,2,2,2,0,0,1,0,3,0,0,0,0,0.967201,300,145
1,0,0,0,0,0,2,2,0,2,0,0,1,2,0,0,0,3,0,0,1.638545,301,141
0,0,0,1,0,2,0,0,0,4,1,1,0,1,0,0,0,0,0,3,1.290545,302,159
0,0,0,1,0,2,0,0,4,0,0,1,1,1,0,0,3,0,0,0,1.002824,303,167
0,0,0,0,1,0,0,4,2,0,0,2,1,0,0,0,0,0,3,0,0.715053,304,174
0,0,0,1,0,0,2,0,4,0,0,0,1,0,2,0,0,0,0,3,1.068551,305,135
0,0,0,1,0,0,4,2,0,0,0,1,0,1,1,0,3,0,0,0,1.098740,307,125
0,0,0,0,1,2,2,0,0,2,1,1,0,0,1,0,0,3,0,0,0.883713,308,149
